Instalação,Petróleo (bbl/d),Gás natural (Mm³/d),Produção (boe/d),Nº poços produtores,Campos Produtores,mes,Campos produtores
Polo Arara,NA,7947.766,56129.342272695154,34,NA,2023-03-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
Petrobras 75 (P-75),NA,7820.444032258065,209151.08752362616,4,NA,2023-03-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Itaguaí,NA,7340.004129032259,176833.21815533936,8,NA,2023-03-01,Tupi
Petrobras 74 (P-74),NA,6162.669322580646,183508.56347956904,5,NA,2023-03-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 76,NA,6129.207096774194,180829.17198430226,5,NA,2023-03-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 69,NA,5745.167161290324,146570.4163793816,7,NA,2023-03-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 70,NA,5739.226032258065,190318.25975409002,5,NA,2023-03-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Carioca (Mv-30),NA,5719.254258064518,203161.19635993,4,NA,2023-03-01,Sépia / Sépia Leste / Sépia_Eco
FPSO Cidade de Maricá,NA,5459.966032258065,180074.53275432804,6,NA,2023-03-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Saquarema,NA,5380.807806451612,140277.70454510354,8,NA,2023-03-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Guanabara,NA,5071.187580645161,110920.55465610129,4,NA,2023-03-01,Anc_Mero / Mero
FPSO Cidade de Ilha Bela,NA,4985.541129032259,130195.2429984171,8,NA,2023-03-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 67 (P-67),NA,4828.616322580645,145859.44425678096,7,NA,2023-03-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 66 (P-66),NA,4720.379290322581,129131.77369164873,8,NA,2023-03-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Paraty,NA,4345.389032258065,125551.9096636158,5,NA,2023-03-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Mangaratiba,NA,4156.9874193548385,97872.12894307579,7,NA,2023-03-01,Tupi
FPSO Cidade de São Paulo,NA,3826.0400967741934,104958.4248876713,7,NA,2023-03-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Pioneiro de Libra,NA,3242.487419354839,68489.16790570162,1,NA,2023-03-01,Anc_Mero / Mero
Petrobras 68,NA,3086.1333548387097,143896.10055788775,9,NA,2023-03-01,Berbigão / Sul De Berbigão / Sururu
Petrobras 77,NA,1865.7194516129032,57870.80582244,5,NA,2023-03-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Caraguatatuba,NA,1721.2837096774192,58366.51609629193,4,NA,2023-03-01,Lapa
Petrobras 58,NA,1674.1122903225807,73955.18789589613,13,NA,2023-03-01,Baleia Anã / Jubarte
Petrobras 52,NA,961.086129032258,62073.834602296774,16,NA,2023-03-01,Roncador
Petrobras 40,NA,909.5332580645163,50249.867709063554,15,NA,2023-03-01,Marlim / Marlim Sul
FPSO Cidade de Campos dos Goytacazes,NA,823.7369677419357,78774.76759091324,11,NA,2023-03-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 71,NA,646.8326774193549,53828.86252593388,1,NA,2023-03-01,Itapu / Itapu_Eco
Petrobras 53,NA,643.8215483870968,45723.432319186126,7,NA,2023-03-01,Marlim Leste
FPSO Frade,NA,381.1941935483871,39714.25193139678,11,NA,2023-03-01,Frade
Petrobras 57,NA,365.44435483870967,40535.25068584193,16,NA,2023-03-01,Jubarte
Peregrino A,NA,55.760193548387115,51834.732641855815,16,NA,2023-03-01,Peregrino
FPSO Guanabara,NA,11632.118033333332,NA,5,NA,2023-11-01,Anc_Mero / Mero
Polo Arara,NA,7706.132533333335,NA,37,NA,2023-11-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Cidade de Itaguaí,NA,7192.551099999999,NA,8,NA,2023-11-01,Tupi
FPSO Cidade de Mangaratiba,NA,7174.277766666666,NA,8,NA,2023-11-01,Tupi
Petrobras 75 (P-75),NA,7002.666666666666,NA,4,NA,2023-11-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 76,NA,6604.845400000001,NA,5,NA,2023-11-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 77,NA,5974.461366666667,NA,5,NA,2023-11-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Saquarema,NA,5857.600799999999,NA,7,NA,2023-11-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Carioca (Mv-30),NA,5708.225466666668,NA,4,NA,2023-11-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 70,NA,5586.827166666668,NA,6,NA,2023-11-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Almirante Barroso,NA,5388.071366666667,NA,3,NA,2023-11-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 66 (P-66),NA,5320.988266666667,NA,7,NA,2023-11-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 74 (P-74),NA,5024.838766666667,NA,4,NA,2023-11-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Maricá,NA,4819.618699999998,NA,8,NA,2023-11-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Paraty,NA,4710.566666666667,NA,6,NA,2023-11-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 67 (P-67),NA,4575.897033333334,NA,6,NA,2023-11-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 69,NA,4538.407700000001,NA,6,NA,2023-11-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 68,NA,4318.211533333333,NA,10,NA,2023-11-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de São Paulo,NA,3678.848400000001,NA,6,NA,2023-11-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Pioneiro de Libra,NA,3302.749666666667,NA,1,NA,2023-11-01,Anc_Mero / Mero
FPSO Cidade de Ilha Bela,NA,2912.2875000000004,NA,7,NA,2023-11-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Angra dos Reis,NA,2209.158033333334,NA,5,NA,2023-11-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 71,NA,2052.868466666667,NA,4,NA,2023-11-01,Itapu / Itapu_Eco
FPSO Cidade de Caraguatatuba,NA,1723.5184666666669,NA,3,NA,2023-11-01,Lapa
Petrobras 58,NA,1359.0909,NA,15,NA,2023-11-01,Baleia Anã / Jubarte
Petrobras 52,NA,1020.0110333333333,NA,15,NA,2023-11-01,Roncador
Petrobras 53,NA,772.2617999999999,NA,10,NA,2023-11-01,Marlim Leste
FPSO Cidade de Campos dos Goytacazes,NA,766.4983333333332,NA,12,NA,2023-11-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
FPSO Frade,NA,485.6939000000001,NA,11,NA,2023-11-01,Frade
Peregrino C,NA,187.26343333333335,NA,5,NA,2023-11-01,Peregrino / Pitangola
FPSO Guanabara,NA,11564.428258064518,NA,5,NA,2023-10-01,Anc_Mero / Mero
Polo Arara,NA,7041.953806451613,NA,36,NA,2023-10-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Cidade de Mangaratiba,NA,6644.781967741936,NA,8,NA,2023-10-01,Tupi
FPSO Cidade de Itaguaí,NA,6597.457322580645,NA,8,NA,2023-10-01,Tupi
Petrobras 75 (P-75),NA,6287.391483870967,NA,4,NA,2023-10-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 70,NA,5899.404838709678,NA,6,NA,2023-10-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Cidade de Saquarema,NA,5849.52464516129,NA,7,NA,2023-10-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 77,NA,5735.993322580645,NA,5,NA,2023-10-01,Búzios / Búzios_Eco / Tambuatá
FPSO Carioca (Mv-30),NA,5588.698258064516,NA,4,NA,2023-10-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 76,NA,5214.842838709677,NA,5,NA,2023-10-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Maricá,NA,4950.2971935483865,NA,6,NA,2023-10-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 69,NA,4820.403,NA,6,NA,2023-10-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Paraty,NA,4603.352451612904,NA,6,NA,2023-10-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 67 (P-67),NA,4552.814612903226,NA,6,NA,2023-10-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 68,NA,4348.015419354839,NA,10,NA,2023-10-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de Ilha Bela,NA,4334.7540967741925,NA,7,NA,2023-10-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 74 (P-74),NA,4272.199774193549,NA,5,NA,2023-10-01,Búzios / Búzios_Eco / Tambuatá
FPSO Almirante Barroso,NA,4189.945419354839,NA,3,NA,2023-10-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de São Paulo,NA,3429.952806451613,NA,6,NA,2023-10-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Pioneiro de Libra,NA,3055.8150322580645,NA,1,NA,2023-10-01,Anc_Mero / Mero
Petrobras 66 (P-66),NA,2893.328161290323,NA,8,NA,2023-10-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 58,NA,2275.02235483871,NA,15,NA,2023-10-01,Baleia Anã / Jubarte
FPSO Cidade de Angra dos Reis,NA,1970.7299032258065,NA,5,NA,2023-10-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 71,NA,1966.1394516129033,NA,3,NA,2023-10-01,Itapu / Itapu_Eco
FPSO Cidade de Caraguatatuba,NA,1708.270258064516,NA,3,NA,2023-10-01,Lapa
Petrobras 52,NA,945.8140967741934,NA,15,NA,2023-10-01,Roncador
Petrobras 40,NA,853.9308387096775,NA,13,NA,2023-10-01,Marlim / Marlim Sul
Petrobras 53,NA,764.9272258064517,NA,8,NA,2023-10-01,Marlim Leste
FPSO Cidade de Campos dos Goytacazes,NA,727.4838709677421,NA,12,NA,2023-10-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
FPSO Frade,NA,528.8287096774194,NA,11,NA,2023-10-01,Frade
FPSO Guanabara,NA,11567.252799999998,252095.65922941832,4,NA,2023-09-01,Anc_Mero / Mero
Petrobras 75 (P-75),NA,7809.135700000001,207806.8640731724,4,NA,2023-09-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Itaguaí,NA,7044.725733333335,164988.91834211035,8,NA,2023-09-01,Tupi
FPSO Cidade de Mangaratiba,NA,6933.830500000001,163054.84390883736,8,NA,2023-09-01,Tupi
Petrobras 74 (P-74),NA,6424.755899999999,189071.30219600568,5,NA,2023-09-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Saquarema,NA,5831.854766666667,149775.679836711,7,NA,2023-09-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 77,NA,5742.798233333332,185093.07725159265,5,NA,2023-09-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 76,NA,5734.985000000001,179193.154542704,5,NA,2023-09-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 66 (P-66),NA,5711.488833333334,140017.12348584435,7,NA,2023-09-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 70,NA,5691.846033333334,191056.8826254067,5,NA,2023-09-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Cidade de Maricá,NA,5278.6306,175711.3144847,6,NA,2023-09-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Carioca (Mv-30),NA,5236.853966666667,187798.33417696803,4,NA,2023-09-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 69,NA,5050.365966666666,133645.9487133447,6,NA,2023-09-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 67 (P-67),NA,4855.855200000001,145206.420316028,7,NA,2023-09-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Paraty,NA,4610.552066666667,137796.27418101567,6,NA,2023-09-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Ilha Bela,NA,4475.210966666667,122479.27037378267,7,NA,2023-09-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 68,NA,3838.821100000001,169245.4097224317,10,NA,2023-09-01,Berbigão / Sul De Berbigão / Sururu
FPSO Almirante Barroso,NA,3791.0066999999995,123170.88718870566,2,NA,2023-09-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de São Paulo,NA,3618.3650666666667,108717.84266767834,6,NA,2023-09-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Pioneiro de Libra,NA,3220.302333333333,69383.65706395301,1,NA,2023-09-01,Anc_Mero / Mero
Petrobras 58,NA,2428.9800333333337,98612.99998862034,15,NA,2023-09-01,Baleia Anã / Jubarte
Petrobras 71,NA,2062.7204,154167.10923654668,3,NA,2023-09-01,Itapu / Itapu_Eco
FPSO Cidade de Caraguatatuba,NA,1836.192633333333,61757.08632427301,3,NA,2023-09-01,Lapa
FPSO Cidade de Angra dos Reis,NA,1611.6878666666667,44229.43339708833,4,NA,2023-09-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 52,NA,999.4262333333334,60028.68762969834,15,NA,2023-09-01,Roncador
Petrobras 53,NA,810.9993666666668,59668.376283169,9,NA,2023-09-01,Marlim Leste
Petrobras 40,NA,732.5886666666668,45213.01962798567,13,NA,2023-09-01,Marlim / Marlim Sul
FPSO Cidade de Campos dos Goytacazes,NA,695.9155666666667,65712.36771908868,11,NA,2023-09-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
FPSO Frade,NA,548.0205333333334,59417.14848248866,11,NA,2023-09-01,Frade
Peregrino A,NA,58.56906666666667,48312.398563885,13,NA,2023-09-01,Peregrino
FPSO Guanabara,NA,11605.474967741935,253551.18318084907,4,NA,2023-08-01,Anc_Mero / Mero
Petrobras 75 (P-75),NA,6995.850774193549,185790.97300799453,4,NA,2023-08-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 77,NA,6520.527451612904,207038.02260777255,5,NA,2023-08-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 76,NA,6101.247580645161,184471.90388066776,5,NA,2023-08-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Saquarema,NA,5644.079096774193,148451.36052381838,7,NA,2023-08-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Carioca (Mv-30),NA,5593.261387096774,200149.17272654938,4,NA,2023-08-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 74 (P-74),NA,5471.232322580646,164701.63450995067,5,NA,2023-08-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 66 (P-66),NA,5414.383548387097,134164.10823888675,7,NA,2023-08-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Maricá,NA,5326.291,177188.1588292436,6,NA,2023-08-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 69,NA,5052.60206451613,133181.91829170357,6,NA,2023-08-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Ilha Bela,NA,4767.466258064516,125955.30378740645,7,NA,2023-08-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Paraty,NA,4550.257548387099,137858.69718393713,6,NA,2023-08-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 67 (P-67),NA,4440.711193548387,134431.40852632484,6,NA,2023-08-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 68,NA,3976.0194838709685,180035.01671865743,10,NA,2023-08-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de São Paulo,NA,3818.8585806451606,113508.79889148132,6,NA,2023-08-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Mangaratiba,NA,3753.5147096774194,93131.49285626582,8,NA,2023-08-01,Tupi
FPSO Almirante Barroso,NA,3284.7499354838706,102349.75804501548,2,NA,2023-08-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 70,NA,3140.7800322580642,101068.09096850806,6,NA,2023-08-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Pioneiro de Libra,NA,3073.8247096774194,65447.95346700806,1,NA,2023-08-01,Anc_Mero / Mero
Petrobras 58,NA,2614.5979032258065,105755.55969718225,15,NA,2023-08-01,Baleia Anã / Jubarte
FPSO Cidade de Itaguaí,NA,2152.9567096774194,52192.533556133225,5,NA,2023-08-01,Tupi
Petrobras 71,NA,1925.6709677419356,143356.9224216113,3,NA,2023-08-01,Itapu / Itapu_Eco
FPSO Cidade de Caraguatatuba,NA,1792.937193548387,60194.926936020325,3,NA,2023-08-01,Lapa
FPSO Cidade de Angra dos Reis,NA,1605.8210322580646,44168.47401266419,4,NA,2023-08-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 52,NA,1034.8768387096775,61122.07150954001,15,NA,2023-08-01,Roncador
Petrobras 40,NA,727.769935483871,46117.14825146065,13,NA,2023-08-01,Marlim / Marlim Sul
FPSO Cidade de Campos dos Goytacazes,NA,699.926935483871,67420.37011537775,11,NA,2023-08-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 53,NA,696.0090322580646,54038.17421442259,7,NA,2023-08-01,Marlim Leste
FPSO Frade,NA,575.1450000000001,57083.04384431452,11,NA,2023-08-01,Frade
Peregrino A,NA,55.90470967741936,45918.57306574483,14,NA,2023-08-01,Peregrino
Petrobras 77,NA,6408.16853333333,NA,5,NA,2024-04-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 70,NA,5625.01366666666,NA,5,NA,2024-04-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Almirante Barroso,NA,5655.85486666666,NA,3,NA,2024-04-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 75 (P-75),NA,6720.6446,NA,4,NA,2024-04-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 68,NA,4728.82786666666,NA,10,NA,2024-04-01,Berbigão / Sul De Berbigão / Sururu
Petrobras 76,NA,6087.86483333333,NA,5,NA,2024-04-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 71,NA,1885.5211,NA,4,NA,2024-04-01,Itapu / Itapu_Eco
FPSO Carioca (Mv-30),NA,4593.2388,NA,4,NA,2024-04-01,Sépia / Sépia Leste / Sépia_Eco
FPSO Cidade de Maricá,NA,4426.23656666666,NA,6,NA,2024-04-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Saquarema,NA,5586.0628,NA,7,NA,2024-04-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Mangaratiba,NA,5594.76386666666,NA,8,NA,2024-04-01,Tupi
Petrobras 69,NA,4048.6952,NA,7,NA,2024-04-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 67 (P-67),NA,4505.46043333333,NA,7,NA,2024-04-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Itaguaí,NA,5547.38073333333,NA,8,NA,2024-04-01,Tupi
FPSO Guanabara,NA,5267.30183333333,NA,5,NA,2024-04-01,Anc_Mero / Mero
FPSO Cidade de Ilha Bela,NA,3939.88963333333,NA,7,NA,2024-04-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de São Paulo,NA,3903.70163333333,NA,6,NA,2024-04-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 74 (P-74),NA,3367.21393333333,NA,4,NA,2024-04-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Paraty,NA,3432.03783333333,NA,6,NA,2024-04-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 58,NA,2340.67319999999,NA,14,NA,2024-04-01,Jubarte
FPSO Cidade de Campos dos Goytacazes,NA,706.914699999999,NA,12,NA,2024-04-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Polo Arara,NA,8282.24053333333,NA,35,NA,2024-04-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Sepetiba,NA,2759.5716,NA,1,NA,2024-04-01,Anc_Mero / Mero
FPSO Pioneiro de Libra,NA,2792.59103333333,NA,1,NA,2024-04-01,Anc_Mero / Mero
FPSO Cidade de Angra dos Reis,NA,2219.86856666666,NA,4,NA,2024-04-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Caraguatatuba,NA,1546.44113333333,NA,3,NA,2024-04-01,Lapa
FPSO Frade,NA,445.310833333333,NA,12,NA,2024-04-01,Frade
Peregrino C,NA,175.522866666666,NA,6,NA,2024-04-01,Peregrino / Pitangola
Petrobras 66 (P-66),NA,1529.05426666666,NA,7,NA,2024-04-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 40,NA,813.060233333333,NA,13,NA,2024-04-01,Marlim / Marlim Sul
FPSO Guanabara,NA,11469.35941935484,NA,5,NA,2024-01-01,Anc_Mero / Mero
Polo Arara,NA,7181.732806451614,NA,38,NA,2024-01-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Cidade de Itaguaí,NA,6599.466322580646,NA,8,NA,2024-01-01,Tupi
Petrobras 77,NA,6321.5127741935485,NA,5,NA,2024-01-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 75 (P-75),NA,6304.469580645161,NA,4,NA,2024-01-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 76,NA,6065.1884838709675,NA,5,NA,2024-01-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 70,NA,5945.250741935483,NA,5,NA,2024-01-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Carioca (Mv-30),NA,5587.969548387097,NA,4,NA,2024-01-01,Sépia / Sépia Leste / Sépia_Eco
FPSO Cidade de Saquarema,NA,5551.239612903226,NA,7,NA,2024-01-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Mangaratiba,NA,5492.786322580646,NA,8,NA,2024-01-01,Tupi
FPSO Almirante Barroso,NA,5468.673064516129,NA,3,NA,2024-01-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 74 (P-74),NA,5177.677032258065,NA,4,NA,2024-01-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 66 (P-66),NA,4888.503258064517,NA,7,NA,2024-01-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 68,NA,4445.215612903226,NA,10,NA,2024-01-01,Berbigão / Sul De Berbigão / Sururu
Petrobras 69,NA,4271.743032258065,NA,6,NA,2024-01-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Paraty,NA,4013.3051935483863,NA,6,NA,2024-01-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Ilha Bela,NA,3942.9145483870966,NA,6,NA,2024-01-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 67 (P-67),NA,3671.8570322580654,NA,8,NA,2024-01-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Pioneiro de Libra,NA,3429.3829032258063,NA,1,NA,2024-01-01,Anc_Mero / Mero
FPSO Cidade de Maricá,NA,2830.0878064516132,NA,5,NA,2024-01-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de São Paulo,NA,2540.8966451612905,NA,6,NA,2024-01-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 58,NA,1969.2625161290325,NA,13,NA,2024-01-01,Jubarte
Petrobras 71,NA,1949.0265161290322,NA,4,NA,2024-01-01,Itapu / Itapu_Eco
FPSO Cidade de Angra dos Reis,NA,1916.578806451613,NA,4,NA,2024-01-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 52,NA,1053.6669677419354,NA,15,NA,2024-01-01,Roncador
FPSO Cidade de Campos dos Goytacazes,NA,761.5968387096774,NA,12,NA,2024-01-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 53,NA,555.3652903225807,NA,9,NA,2024-01-01,Marlim Leste
FPSO Frade,NA,485.2797419354839,NA,11,NA,2024-01-01,Frade
Peregrino C,NA,188.66812903225807,NA,6,NA,2024-01-01,Peregrino / Pitangola
Peregrino A,NA,47.626129032258056,NA,13,NA,2024-01-01,Peregrino
FPSO Guanabara,NA,11680.7260967741,NA,5,NA,2024-05-01,Anc_Mero / Mero
Polo Arara,NA,8048.71509677419,NA,36,NA,2024-05-01,Arara Azul / Araracanga / Rio Urucu / Sudoeste Urucu
Petrobras 75 (P-75),NA,6608.82332258064,NA,4,NA,2024-05-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 77,NA,6564.03748387096,NA,5,NA,2024-05-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Itaguaí,NA,6514.31783870967,NA,8,NA,2024-05-01,Tupi
Petrobras 76,NA,6134.58980645161,NA,4,NA,2024-05-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Saquarema,NA,5938.05238709677,NA,7,NA,2024-05-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Carioca (Mv-30),NA,5842.35751612903,NA,4,NA,2024-05-01,Sépia / Sépia Leste / Sépia_Eco
FPSO Almirante Barroso,NA,5355.57377419354,NA,3,NA,2024-05-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 67 (P-67),NA,5240.52416129032,NA,8,NA,2024-05-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 70,NA,5056.4763548387,NA,5,NA,2024-05-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
Petrobras 66 (P-66),NA,4862.77299999999,NA,7,NA,2024-05-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Mangaratiba,NA,4640.95022580645,NA,8,NA,2024-05-01,Tupi
FPSO Cidade de Maricá,NA,4395.19777419354,NA,5,NA,2024-05-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 69,NA,4106.18451612903,NA,7,NA,2024-05-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 68,NA,4082.80277419354,NA,10,NA,2024-05-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de Ilha Bela,NA,3876.19474193548,NA,7,NA,2024-05-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de São Paulo,NA,3735.76235483871,NA,6,NA,2024-05-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Pioneiro de Libra,NA,3250.79493548387,NA,1,NA,2024-05-01,Anc_Mero / Mero
Petrobras 74 (P-74),NA,3104.60832258064,NA,4,NA,2024-05-01,Búzios / Búzios_Eco / Tambuatá
