Período,Consumo Interno,Queima,Disponível,Injeção,Aproveitamento,Injeção descontando CO2,Produção descontando CO2
2023-05-01,9345.641935483869,2439.7871290322587,30545.781774193525,67795.34432258065,0.9778999254138345,NA,NA
2023-06-01,9294.383733333332,2826.7907666666656,28912.227266666694,70219.34673333331,0.9746536720173998,NA,NA
2023-07-01,9349.050967741938,2686.7173548387095,30329.000290322547,73311.8116451613,0.9768264886187282,NA,NA
2022-06-01,13204.360818333338,4345.87520133333,52914.62346299992,62438.109101999995,0.9674581521189287,NA,NA
2022-07-01,13752.47268129033,4071.826069354841,51328.677652258164,66476.73112032258,0.9701165845092742,NA,NA
2022-08-01,14459.733281935482,3294.353887096774,52612.049249677555,69596.68861096776,0.9765714684914095,NA,NA
2022-09-01,14994.622904333337,3162.420455999998,55965.73586599982,68947.53250066667,0.9780048838042472,NA,NA
2022-10-01,15118.699207096774,2907.293818709676,54367.7209648386,76357.10686967743,0.9805410668202458,NA,NA
2022-11-01,14624.963616666662,3652.046170000003,49914.924101,72188.08531833334,0.9740974820693712,NA,NA
2022-12-01,14608.2699867742,3707.288448064516,52360.18855129029,69467.55689225806,0.9736589825943575,NA,NA
2023-02-01,15150.35085714286,3810.0141071428593,48822.21192857143,78756.92371428572,0.9741016427775757,NA,NA
2023-03-01,14561.696677419352,3599.9718387096773,47516.30809677418,72852.80367741935,0.9741110543585876,NA,NA
2023-04-01,14754.08266666667,3869.267533333331,49864.42386666672,73113.45726666666,0.9727644625020025,NA,NA
2023-06-01,15160.836833333336,4580.422600000001,54657.58833333333,77859.04066666664,0.9700634693017521,NA,NA
2023-05-01,14598.20951612903,4136.05241935484,51220.41841935485,74990.77251612903,0.9714647659693277,NA,NA
2023-02-01,15150.35085714286,3810.0201785714307,48822.21192857141,78756.92371428573,0.9741016025762123,NA,NA
2023-05-01,14598.209516129029,4136.05241935484,50684.69396774174,74990.77251612901,0.9714647659693277,NA,NA
2023-06-01,15160.836833333336,4580.425733333334,54657.58833333332,77859.04066666664,0.9700634494361077,NA,NA
2023-07-01,15935.702967741936,4274.182451612907,53656.62864516134,80209.33774193547,0.9723939619720184,NA,NA
2023-09-01,16648.61013333333,3353.780966666665,54388.06060000017,83598.39339999999,0.9788783439011453,NA,NA
2023-10-01,16239.155709677414,3731.5740967741935,48623.514612903135,83911.0984516129,0.9756470844218486,NA,NA
2022-12-01,14608.2699867742,3707.288448064516,52360.18855129027,69467.55689225807,0.9736589825943572,NA,NA
2023-03-01,14561.696677419352,3599.9718387096773,47516.30809677419,72852.80367741933,0.9741110543585876,NA,NA
2023-06-01,15160.836833333336,4580.425733333334,54657.58833333333,77859.04066666662,0.9700634494361077,NA,NA
2023-07-01,15935.702967741936,4274.182451612907,53656.62864516133,80209.33774193548,0.9723939619720184,NA,NA
2023-05-01,14598.209516129029,4136.05241935484,50684.69396774171,74990.77251612904,0.9714647659693277,NA,NA
2023-01-01,15085.212709677427,4024.2393870967744,50597.51064516123,73414.75158064517,0.9719580359627252,54344.82368782582,120264.7319371678
2023-02-01,15150.35085714286,3810.0201785714307,48822.21192857142,78756.92371428572,0.9741016025762123,58062.25147558214,122755.44186182128
2023-03-01,14561.696677419352,3599.9718387096773,47516.30809677418,72852.80367741935,0.9741110543585876,55316.66228769354,118021.63068233871
2023-04-01,14754.08266666667,3869.239266666664,49864.4238666667,73113.45726666666,0.9727646560503963,55369.26030010666,120404.11385331003
2023-05-01,14598.209516129029,4136.0414193548395,50684.69396774174,74990.77251612901,0.9714648396943948,55797.750228764504,121160.67303866449
2023-06-01,15160.836833333336,4580.425733333334,54657.58833333332,77859.04066666664,0.9700634494361077,57924.21583077997,128570.81568077329
2023-07-01,15935.702967741936,4274.182451612907,53656.6286451613,80209.33774193551,0.9723939619720184,59387.93520844841,130133.87645940317
2023-08-01,16070.670193548394,3768.9559677419356,52253.859419354856,75766.43458064515,0.9746458813352675,54799.57548483547,123884.45210190638
2023-09-01,16648.61013333333,3353.764466666665,54388.06060000016,83598.3934,0.9788784456210584,61585.54993789666,132984.75014773643
2023-10-01,16239.155709677414,3731.5471290322585,48623.51461290314,83911.0984516129,0.9756472561321318,63282.670383964505,128899.23344106466
2023-11-01,16806.88569999999,3663.1815,55865.74239999988,85787.2612,0.9775033539114755,63806.694113670004,137259.04680819
2023-12-01,16272.819258064506,3395.5930967741956,51344.83138709673,85616.51745161289,0.978380706977918,63822.47164949031,132063.52789155155
2024-01-01,16452.41622580645,4545.752709677419,51624.96480645164,81304.29703225808,0.9706080922124402,60705.45674679357,129528.41982335484
2017-01-01,13263,4283,64395,27999,NA,NA,NA
2017-02-01,13343,3956,61951,27388,NA,NA,NA
2017-03-01,13025,3467,56363,28492,NA,NA,NA
2017-04-01,12878,3553,60473,25677,NA,NA,NA
2017-05-01,12929,3707,61892,26253,NA,NA,NA
2017-06-01,13141,4511,66917,26565,NA,NA,NA
2017-07-01,13343,4226,67928,29509,NA,NA,NA
2017-08-01,13286,3387,67296,27870,NA,NA,NA
2017-09-01,13346,3376,66905,30376,NA,NA,NA
2017-10-01,13472,3392,70129,27611,NA,NA,NA
2017-11-01,13069,3567,69971,26803,NA,NA,NA
2017-12-01,12936,3866,69874,26696,NA,NA,NA
2018-01-01,12809,4019,65542,30040,NA,NA,NA
2022-10-01,15119,2907,54367.72096,76357,0.981,NA,NA
2022-11-01,14625,3652,49914.9241,72188,0.974,NA,NA
2022-12-01,14608,3707,52360.18855,69468,0.974,NA,NA
2023-01-01,15085,4146,50597.51065,73415,0.971,NA,NA
2023-02-01,15150,3810,48822.21193,78757,0.974,NA,NA
2023-03-01,14562,3600,47516.3081,72853,0.974,NA,NA
2023-04-01,14754,3869,49864.42387,73113,0.973,NA,NA
2023-05-01,14598,4136,50684.69397,74991,0.971,NA,NA
2023-06-01,15161,4580,54657.58833,77859,0.97,NA,NA
2023-07-01,15936,4274,53656.62865,80209,0.972,NA,NA
2023-08-01,16071,3769,52253.85942,75766,0.975,NA,NA
2023-09-01,16649,3354,54388.0606,83598,0.979,NA,NA
2023-10-01,16239,3732,48623.51461,83911,0.976,NA,NA
